Athlete_Name,Athlete_Sex,Athlete_Age,Athlete_Height (cm),Athlete_Weight (Kg),Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Athlete_Height,Athlete_Weight
Julie Maree McDonald,F,22.0,174.0,66.0,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 400 metres Freestyle,No Medal,174.0,66.0
Ondej Moravec,M,21.0,181.0,72.0,Czech Republic,CZE,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,No Medal,181.0,72.0
Robert Oberrauch,M,26.0,189.0,85.0,Italy,ITA,1992 Winter,1992,Winter,Albertville,Ice Hockey,Ice Hockey Men's Ice Hockey,No Medal,189.0,85.0
"Francis Joseph ""Frank"" Masley",M,27.0,183.0,77.0,United States,USA,1988 Winter,1988,Winter,Calgary,Luge,Luge Men's Singles,No Medal,183.0,77.0
Oriol Combarros Vilaseca,M,24.0,167.0,67.0,Spain,ESP,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Individual All-Around,No Medal,167.0,67.0
Suchart Chairsuvaparb,M,25.0,170.0,66.0,Thailand,THA,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 100 metres,No Medal,170.0,66.0
Gheorghe Lixandru,M,22.0,186.0,90.0,Romania-1,ROU,1976 Winter,1976,Winter,Innsbruck,Bobsleigh,Bobsleigh Men's Four,No Medal,186.0,90.0
"Ruth Marie Wysocki (Kleinsasser-, Caldwell-)",F,27.0,176.0,59.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Athletics,"Athletics Women's 1,500 metres",No Medal,176.0,59.0
"Robert Lloyd ""Robbie"" Peden",M,22.0,170.0,57.0,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Featherweight,No Medal,170.0,57.0
"Frederik Willem ""Fred"" van der Zwan",M,24.0,182.0,71.0,Netherlands,NED,1960 Summer,1960,Summer,Roma,Water Polo,Water Polo Men's Water Polo,No Medal,182.0,71.0
Giuseppe Ficco,M,26.0,168.0,69.0,Italy,ITA,2000 Summer,2000,Summer,Sydney,Weightlifting,Weightlifting Men's Lightweight,No Medal,168.0,69.0
lafur Indrii Stefnsson,M,35.0,196.0,94.0,Iceland,ISL,2008 Summer,2008,Summer,Beijing,Handball,Handball Men's Handball,Silver,196.0,94.0
Bilkisu Yusuf,F,23.0,156.0,63.0,Nigeria,NGR,2000 Summer,2000,Summer,Sydney,Judo,Judo Women's Half-Middleweight,No Medal,156.0,63.0
Serhiy Mykhailovych Hryn,M,22.0,195.0,100.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Quadruple Sculls,Bronze,195.0,100.0
Linda Byrne,F,26.0,163.0,50.0,Ireland,IRL,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Marathon,No Medal,163.0,50.0
Shakhboz Kholmurzayev,M,20.0,188.0,78.0,Uzbekistan,UZB,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Single Sculls,No Medal,188.0,78.0
Daniel Trenton,M,27.0,180.0,86.0,Australia,AUS,2004 Summer,2004,Summer,Athina,Taekwondo,Taekwondo Men's Welterweight,No Medal,180.0,86.0
David Charles Neesham,M,25.0,180.0,81.0,Australia,AUS,1972 Summer,1972,Summer,Munich,Water Polo,Water Polo Men's Water Polo,No Medal,180.0,81.0
"Michael ""Mike"" Solomon",M,21.0,171.0,60.0,Trinidad and Tobago,TTO,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 4 x 400 metres Relay,No Medal,171.0,60.0
Daniel Ballart Sans,M,31.0,178.0,73.0,Spain,ESP,2004 Summer,2004,Summer,Athina,Water Polo,Water Polo Men's Water Polo,No Medal,178.0,73.0
Annette Potempa,F,15.0,149.0,38.0,Germany,GER,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Women's Floor Exercise,No Medal,149.0,38.0
Mervyn Richard Luckwell,M,27.0,191.0,104.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Javelin Throw,No Medal,191.0,104.0
Evi Sachenbacher-Stehle,F,33.0,162.0,52.0,Germany,GER,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,No Medal,162.0,52.0
Igors Miglinieks,M,28.0,194.0,96.0,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Men's Basketball,No Medal,194.0,96.0
"Ebenezer Oluwafemi ""Femi"" Ajilore",M,23.0,185.0,75.0,Nigeria,NGR,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Silver,185.0,75.0
Grete Andersen-Waitz,F,34.0,172.0,53.0,Norway,NOR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's Marathon,No Medal,172.0,53.0
Milton Estrella,M,25.0,178.0,86.0,Ecuador,ECU,1980 Summer,1980,Summer,Moskva,Judo,Judo Men's Middleweight,No Medal,178.0,86.0
Jin Jong-O,M,36.0,175.0,78.0,South Korea,KOR,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,"Shooting Men's Free Pistol, 50 metres",Gold,175.0,78.0
"Carlos Luciano ""Menta"" Ertel",M,33.0,185.0,94.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Handball,Handball Men's Handball,No Medal,185.0,94.0
Nikolay Nikolayevich Spinev,M,22.0,191.0,89.0,Russia,RUS,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Quadruple Sculls,No Medal,191.0,89.0
Virginie Machado,F,16.0,152.0,42.0,France,FRA,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Women's Uneven Bars,No Medal,152.0,42.0
Juan Ignacio Chela,M,24.0,190.0,75.0,Argentina,ARG,2004 Summer,2004,Summer,Athina,Tennis,Tennis Men's Singles,No Medal,190.0,75.0
Dieter Wellmann,M,25.0,182.0,72.0,West Germany,FRG,1968 Summer,1968,Summer,Mexico City,Fencing,"Fencing Men's Foil, Team",No Medal,182.0,72.0
Pim-On Klaisuban,F,24.0,167.0,75.0,Thailand,THA,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,"Shooting Women's Sporting Pistol, 25 metres",No Medal,167.0,75.0
Anita Kirly,F,20.0,173.0,66.0,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Judo,Judo Women's Middleweight,No Medal,173.0,66.0
Kazuyoshi Funaki,M,22.0,175.0,62.0,Japan,JPN,1998 Winter,1998,Winter,Nagano,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",Silver,175.0,62.0
Pedro Antonio Grajales Escobar,M,24.0,172.0,72.0,Colombia,COL,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 200 metres,No Medal,172.0,72.0
Manfred Barth,M,43.0,176.0,62.0,West Germany,FRG,1988 Summer,1988,Summer,Seoul,Archery,Archery Men's Team,No Medal,176.0,62.0
Marko Pachel,M,19.0,187.0,77.0,Estonia,EST,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 100 metres Breaststroke,No Medal,187.0,77.0
Jo Seong-Hwan,M,21.0,169.0,65.0,South Korea,KOR,1964 Summer,1964,Summer,Tokyo,Cycling,Cycling Men's 100 kilometres Team Time Trial,No Medal,169.0,65.0
Jean-Paul Pierrat,M,27.0,165.0,68.0,France,FRA,1980 Winter,1980,Winter,Lake Placid,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,No Medal,165.0,68.0
Karen Dokka (-Vageletos),F,21.0,164.0,61.0,Canada,CAN,1968 Winter,1968,Winter,Grenoble,Alpine Skiing,Alpine Skiing Women's Slalom,No Medal,164.0,61.0
Chae Gwang-Seok,M,22.0,164.0,61.0,South Korea,KOR,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Gymnastics Men's Team All-Around,No Medal,164.0,61.0
Stephen Jones,M,23.0,192.0,95.0,New Zealand,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,No Medal,192.0,95.0
Aurimas Didbalis,M,25.0,172.0,94.0,Lithuania,LTU,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Middle-Heavyweight,Bronze,172.0,94.0
Dejan Savi,M,25.0,190.0,120.0,Serbia and Montenegro,SCG,2000 Summer,2000,Summer,Sydney,Water Polo,Water Polo Men's Water Polo,Bronze,190.0,120.0
ore Stefanovi,M,26.0,163.0,59.0,Yugoslavia,YUG,1948 Summer,1948,Summer,London,Athletics,"Athletics Men's 3,000 metres Steeplechase",No Medal,163.0,59.0
Bengt Gran Harrysson Lager,M,25.0,178.0,70.0,Sweden,SWE,1976 Summer,1976,Summer,Montreal,Modern Pentathlon,Modern Pentathlon Men's Team,No Medal,178.0,70.0
Aileen Aletha Meagher,F,25.0,168.0,55.0,Canada,CAN,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Women's 100 metres,No Medal,168.0,55.0
Amel Khamtache,F,31.0,181.0,55.0,Algeria,ALG,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,No Medal,181.0,55.0
Yovani Andrs Lpez Lpez,M,21.0,177.0,68.0,Colombia,COL,1996 Summer,1996,Summer,Atlanta,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",No Medal,177.0,68.0
Olivier Serge Lenglet,M,24.0,182.0,70.0,France,FRA,1984 Summer,1984,Summer,Los Angeles,Fencing,"Fencing Men's epee, Team",Silver,182.0,70.0
Aleksandr Yegorov,M,24.0,185.0,75.0,Kyrgyzstan,KGZ,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 200 metres Backstroke,No Medal,185.0,75.0
"Michael Wordsworth ""Mike"" Elliott",M,25.0,178.0,73.0,United States,USA,1968 Winter,1968,Winter,Grenoble,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,No Medal,178.0,73.0
Anayansi Prez Aragn,F,23.0,165.0,65.0,Cuba,CUB,2000 Summer,2000,Summer,Sydney,Sailing,Sailing Women's Windsurfer,No Medal,165.0,65.0
Hong Eun-Seong,M,25.0,172.0,72.0,South Korea,KOR,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,No Medal,172.0,72.0
Kristine Kristiansen,F,22.0,169.0,70.0,Norway,NOR,1998 Winter,1998,Winter,Nagano,Alpine Skiing,Alpine Skiing Women's Downhill,No Medal,169.0,70.0
Michelle Claire Edwards,F,30.0,155.0,58.0,South Africa,RSA,2004 Summer,2004,Summer,Athina,Badminton,Badminton Women's Singles,No Medal,155.0,58.0
Velik Nikolov Kapsazov,M,25.0,167.0,67.0,Bulgaria,BUL,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Floor Exercise,No Medal,167.0,67.0
Vctor Hugo Marulanda Velsquez,M,21.0,178.0,73.0,Colombia,COL,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,No Medal,178.0,73.0
Yun Nam-Jin,M,26.0,185.0,82.0,South Korea,KOR,1988 Summer,1988,Summer,Seoul,Fencing,"Fencing Men's epee, Individual",No Medal,185.0,82.0
Francisco Obdulio D'Alessandri,M,34.0,172.0,70.0,Argentina,ARG,1964 Summer,1964,Summer,Tokyo,Equestrianism,"Equestrianism Mixed Dressage, Individual",No Medal,172.0,70.0
Dimitri Borovik,M,32.0,178.0,72.0,Estonia,EST,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Men's 10 kilometres Sprint,No Medal,178.0,72.0
"Ricardo Mendoza ""Ric"" Fortaleza",M,21.0,165.0,51.0,Philippines,PHI,1972 Summer,1972,Summer,Munich,Boxing,Boxing Men's Bantamweight,No Medal,165.0,51.0
Manuel Alfonso Garca,M,28.0,175.0,69.0,Guam,GUM,1992 Summer,1992,Summer,Barcelona,Cycling,"Cycling Men's Road Race, Individual",No Medal,175.0,69.0
Kiyoto Inoue,M,26.0,176.0,67.0,Japan,JPN,1984 Summer,1984,Summer,Los Angeles,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",No Medal,176.0,67.0
"Harry Warren ""Skip"" Cutting, III",M,18.0,183.0,80.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",No Medal,183.0,80.0
Anna Marie Lundqvist-Bjrk,F,21.0,166.0,58.0,Sweden,SWE,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Women's Floor Exercise,No Medal,166.0,58.0
Denou Koffi,M,32.0,185.0,78.0,Togo,TOG,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Triple Jump,No Medal,185.0,78.0
Carlos Garca Martnez,M,22.0,163.0,62.0,Cuba,CUB,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Floor Exercise,No Medal,163.0,62.0
Yann Cucherat,M,20.0,171.0,70.0,France,FRA,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Team All-Around,No Medal,171.0,70.0
Gary Dwayne Payton,M,32.0,190.0,86.0,United States,USA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Men's Basketball,Gold,190.0,86.0
Zakia Nassar,F,21.0,162.0,60.0,Palestine,PLE,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 50 metres Freestyle,No Medal,162.0,60.0
Matthew Raymond Grayling,M,40.0,172.0,72.0,New Zealand,NZL,2004 Summer,2004,Summer,Athina,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",No Medal,172.0,72.0
Alex McEwan,M,24.0,162.0,62.0,Australia,AUS,2002 Winter,2002,Winter,Salt Lake City,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",No Medal,162.0,62.0
Volker Fried,M,27.0,184.0,78.0,West Germany,FRG,1988 Summer,1988,Summer,Seoul,Hockey,Hockey Men's Hockey,Silver,184.0,78.0
Yoko Koikawa,F,18.0,169.0,61.0,Japan,JPN,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,No Medal,169.0,61.0
Hugh Williams,M,31.0,177.0,94.0,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",No Medal,177.0,94.0
Martin Tauber,M,29.0,175.0,65.0,Austria,AUT,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,No Medal,175.0,65.0
Yolanda Yvette Griffith,F,30.0,193.0,81.0,United States,USA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Gold,193.0,81.0
"Ying Wah ""Leslie"" Kwok",M,26.0,184.0,78.0,Singapore,SGP,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 50 metres Freestyle,No Medal,184.0,78.0
Carlos Albert Llorente,M,21.0,185.0,75.0,Mexico,MEX,1964 Summer,1964,Summer,Tokyo,Football,Football Men's Football,No Medal,185.0,75.0
Nam Hyeon-Wu,M,25.0,182.0,80.0,South Korea,KOR,2012 Summer,2012,Summer,London,Hockey,Hockey Men's Hockey,No Medal,182.0,80.0
"George Pierce ""Gerry"" Geran",M,23.0,175.0,82.0,United States,USA,1920 Summer,1920,Summer,Antwerpen,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver,175.0,82.0
Seiji Shibata,M,26.0,173.0,58.0,Japan,JPN,1964 Summer,1964,Summer,Tokyo,Fencing,"Fencing Men's Sabre, Individual",No Medal,173.0,58.0
"J. Bradley ""Brad"" Pirie",M,24.0,178.0,80.0,Canada,CAN,1980 Winter,1980,Winter,Lake Placid,Ice Hockey,Ice Hockey Men's Ice Hockey,No Medal,178.0,80.0
Jacqui Cook,F,28.0,175.0,68.0,Canada,CAN,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Coxed Eights,No Medal,175.0,68.0
Oddvar Br,M,24.0,183.0,73.0,Norway,NOR,1976 Winter,1976,Winter,Innsbruck,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,No Medal,183.0,73.0
Giovanni Pettenella,M,21.0,178.0,73.0,Italy,ITA,1964 Summer,1964,Summer,Tokyo,Cycling,Cycling Men's Sprint,Gold,178.0,73.0
Giulia Steingruber,F,22.0,160.0,56.0,Switzerland,SUI,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Balance Beam,No Medal,160.0,56.0
Willem Coertzen,M,29.0,186.0,79.0,South Africa,RSA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Decathlon,No Medal,186.0,79.0
Nathan Harford Handley,M,27.0,173.0,72.0,New Zealand,NZL,2000 Summer,2000,Summer,Sydney,Sailing,Sailing Mixed Skiff,No Medal,173.0,72.0
Zoltn Imre dn von Halmay,M,23.0,187.0,83.0,Hungary,HUN,1904 Summer,1904,Summer,St. Louis,Swimming,Swimming Men's 50 yard Freestyle,Gold,187.0,83.0
Lo Sing Yan,M,27.0,172.0,70.0,Hong Kong,HKG,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Lightweight Double Sculls,No Medal,172.0,70.0
Claire Marie Huddart,F,24.0,170.0,64.0,Great Britain,GBR,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,No Medal,170.0,64.0
Martn Emilio Rodrguez Gutierrez,M,22.0,178.0,70.0,Colombia,COL,1964 Summer,1964,Summer,Tokyo,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",No Medal,178.0,70.0
Kelly Clark,F,26.0,163.0,61.0,United States,USA,2010 Winter,2010,Winter,Vancouver,Snowboarding,Snowboarding Women's Halfpipe,Bronze,163.0,61.0
Dennis Theodore Darling,M,21.0,183.0,77.0,Bahamas,BAH,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,No Medal,183.0,77.0
V'iacheslav Vasylovych Derkach,M,29.0,175.0,69.0,Ukraine,UKR,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Men's 10 kilometres Sprint,No Medal,175.0,69.0
Nicola Lavery,F,23.0,162.0,53.0,Great Britain,GBR,1984 Winter,1984,Winter,Sarajevo,Cross Country Skiing,Cross Country Skiing Women's 20 kilometres,No Medal,162.0,53.0
milie Vina,F,23.0,161.0,56.0,France,FRA,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Women's Sprint,No Medal,161.0,56.0
Liene Fimbauere,F,21.0,156.0,55.0,Latvia,LAT,2010 Winter,2010,Winter,Vancouver,Alpine Skiing,Alpine Skiing Women's Slalom,No Medal,156.0,55.0
dison Xavier Moreno Cruz,M,28.0,166.0,54.0,Ecuador,ECU,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 50 kilometres Walk,No Medal,166.0,54.0
Veikko Johannes Hakulinen,M,35.0,173.0,66.0,Finland,FIN,1960 Winter,1960,Winter,Squaw Valley,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,No Medal,173.0,66.0
Claire Wright,F,29.0,167.0,54.0,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Trampolining,Trampolining Women's Individual,No Medal,167.0,54.0
Lorenzo Vismara,M,25.0,198.0,90.0,Italy,ITA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,No Medal,198.0,90.0
Vanessa Amors Quiles,F,29.0,165.0,62.0,Spain,ESP,2012 Summer,2012,Summer,London,Handball,Handball Women's Handball,Bronze,165.0,62.0
Birgitt Austermhl,F,30.0,171.0,60.0,Germany,GER,1996 Summer,1996,Summer,Atlanta,Football,Football Women's Football,No Medal,171.0,60.0
Martina Schild,F,24.0,170.0,67.0,Switzerland,SUI,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Women's Super G,No Medal,170.0,67.0
Alf Tommy Samuelsson,M,20.0,174.0,74.0,Sweden,SWE,1980 Winter,1980,Winter,Lake Placid,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze,174.0,74.0
Yevgeny Nikolayevich Belov,M,23.0,185.0,78.0,Russia,RUS,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Men's 30 km Skiathlon,No Medal,185.0,78.0
Laurent Gras,M,21.0,180.0,79.0,France,FRA,1998 Winter,1998,Winter,Nagano,Ice Hockey,Ice Hockey Men's Ice Hockey,No Medal,180.0,79.0
Abdelmajid El-Hissouf,M,23.0,170.0,56.0,Morocco,MAR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Marathon,No Medal,170.0,56.0
Alfred Kucharczyk,M,26.0,170.0,68.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Pommelled Horse,No Medal,170.0,68.0
Philipp Frst,M,23.0,172.0,70.0,Germany,GER,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Rings,No Medal,172.0,70.0
Roland Olof Rahm,M,24.0,205.0,97.0,Sweden,SWE,1980 Summer,1980,Summer,Moskva,Basketball,Basketball Men's Basketball,No Medal,205.0,97.0
Davila Plocon,M,33.0,186.0,89.0,Romania,ROU,1964 Summer,1964,Summer,Tokyo,Volleyball,Volleyball Men's Volleyball,No Medal,186.0,89.0
Bruce Oram Davidson,M,26.0,180.0,66.0,United States,USA,1976 Summer,1976,Summer,Montreal,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold,180.0,66.0
"Andrew William ""Andy"" Stanfield",M,24.0,187.0,79.0,United States,USA,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 4 x 100 metres Relay,Gold,187.0,79.0
Floria Guei,F,26.0,166.0,53.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 400 metres Relay,No Medal,166.0,53.0
Jukka Petteri Ylipulli,M,21.0,176.0,67.0,Finland,FIN,1984 Winter,1984,Winter,Sarajevo,Nordic Combined,Nordic Combined Men's Individual,Bronze,176.0,67.0
Todor Krastev Nikolov,M,23.0,182.0,72.0,Bulgaria,BUL,1968 Summer,1968,Summer,Mexico City,Football,Football Men's Football,Silver,182.0,72.0
Olena Sviatoslavivna Buriak,F,24.0,196.0,90.0,Ukraine,UKR,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Double Sculls,No Medal,196.0,90.0
Leonid Leonidovich Korneyenko,M,22.0,187.0,80.0,Belarus,BLR,2010 Winter,2010,Winter,Vancouver,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,No Medal,187.0,80.0
Marzena Karpiska,F,20.0,150.0,47.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Women's Flyweight,No Medal,150.0,47.0
Oleksandr Oleksiyovych Motuzenko,M,21.0,188.0,89.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver,188.0,89.0
Horst Roland Niehaus Bonilla,M,20.0,180.0,80.0,Costa Rica,CRC,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 200 metres Backstroke,No Medal,180.0,80.0
Denis Aleksandrovich Kulakov,M,29.0,174.0,80.0,Russia,RUS,2012 Summer,2012,Summer,London,Shooting,"Shooting Men's Air Pistol, 10 metres",No Medal,174.0,80.0
Hans-Jrg Bliesener,M,22.0,185.0,89.0,East Germany,GDR,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze,185.0,89.0
Mika Petteri Polku,M,25.0,185.0,69.0,Finland,FIN,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's High Jump,No Medal,185.0,69.0
Hermann Salzner,M,32.0,172.0,72.0,Austria,AUT,1960 Summer,1960,Summer,Roma,Canoeing,Canoeing Men's Kayak Relay 4 x 500 metres,No Medal,172.0,72.0
Cristina Pabst,F,20.0,167.0,68.0,Italy,ITA,1968 Winter,1968,Winter,Grenoble,Luge,Luge Women's Singles,No Medal,167.0,68.0
Elisabeta Oleniuc-Lip,F,23.0,183.0,80.0,Romania,ROU,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Women's Quadruple Sculls,Bronze,183.0,80.0
Simon Graham Arkell,M,30.0,185.0,78.0,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Pole Vault,No Medal,185.0,78.0
Roman Hamrlk,M,23.0,186.0,95.0,Czech Republic,CZE,1998 Winter,1998,Winter,Nagano,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold,186.0,95.0
"Mary Jo-Anne ""Jo"" Tudor",F,28.0,170.0,58.0,Canada,CAN,1988 Summer,1988,Summer,Seoul,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",No Medal,170.0,58.0
Nikola Stoji,M,33.0,198.0,99.0,Serbia,SRB,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxless Pairs,No Medal,198.0,99.0
"Susanne ""Sue"" Funch (-McCarthy)",F,17.0,160.0,54.0,Australia,AUS,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 4 x 100 metres Medley Relay,No Medal,160.0,54.0
Tomomi Okazaki (Yasutake-),F,38.0,164.0,57.0,Japan,JPN,2010 Winter,2010,Winter,Vancouver,Speed Skating,Speed Skating Women's 500 metres,No Medal,164.0,57.0
Shelley Ann Gorman-Sandie,F,27.0,181.0,73.0,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Bronze,181.0,73.0
Karin Janz (-Bttner),F,16.0,156.0,46.0,East Germany,GDR,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Women's Horse Vault,No Medal,156.0,46.0
"Lawrence Ellwyne ""Larry"" Myricks",M,20.0,186.0,82.0,United States,USA,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Long Jump,No Medal,186.0,82.0
Kajetan Tomasz Broniewski,M,33.0,187.0,92.0,Poland,POL,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Double Sculls,No Medal,187.0,92.0
Rudolf Potsch,M,26.0,185.0,83.0,Czechoslovakia,TCH,1964 Winter,1964,Winter,Innsbruck,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze,185.0,83.0
Ilkka Tuukanpoika Suvanto,M,21.0,182.0,82.0,Finland,FIN,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,No Medal,182.0,82.0
Eleanor Jean Haslam (-Jensen),F,20.0,169.0,50.0,Canada,CAN,1960 Summer,1960,Summer,Roma,Athletics,Athletics Women's 200 metres,No Medal,169.0,50.0
Aladr Gerevich (-Gerei),M,46.0,177.0,78.0,Hungary,HUN,1956 Summer,1956,Summer,Melbourne,Fencing,"Fencing Men's Sabre, Team",Gold,177.0,78.0
Elisabetta Perrone,F,28.0,168.0,56.0,Italy,ITA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 10 kilometres Walk,Silver,168.0,56.0
Hendrik Degros,M,29.0,187.0,80.0,Belgium,BEL,2004 Summer,2004,Summer,Athina,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",No Medal,187.0,80.0
Pascal Sieber,M,28.0,183.0,83.0,Switzerland,SUI,2006 Winter,2006,Winter,Torino,Curling,Curling Men's Curling,No Medal,183.0,83.0
Zhou Min,F,18.0,172.0,64.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 400 metres Individual Medley,No Medal,172.0,64.0
Youssef Bouguerra,M,22.0,174.0,74.0,Algeria,ALG,1992 Summer,1992,Summer,Barcelona,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",No Medal,174.0,74.0
Lothar Kurbjuweit,M,21.0,179.0,75.0,East Germany,GDR,1972 Summer,1972,Summer,Munich,Football,Football Men's Football,Bronze,179.0,75.0
